Product Group,Product Category,Printing Pages / Sides,Variables,Size,Material Specification,Finish,"Tax Label","Tax Rate","Unit Price",Unit ,"Ink Cost","Sheet Cost","Lamination Cost",OR Cost,Input - Height (mm),Input - Width (mm),Quantity 
Display,Acrylic Panels ,2,Rectangle/Square Shape,5mm,Printed,No Lamination,VAT,20%,£67.46,sq/m,£3.66,£37.07,£0.00,£1.43,,,
Display,Acrylic Panels ,2,Rectangle/Square Shape,5mm,Frosted,No Lamination,VAT,20%,£74.67,sq/m,£3.66,£37.07,£4.51,£1.43,,,
Display,Acrylic Panels ,2,Rectangle/Square Shape,10mm,Printed,No Lamination,VAT,20%,£120.80,sq/m,£3.66,£70.41,£0.00,£1.43,,,
Display,Acrylic Panels ,2,Rectangle/Square Shape,10mm,Frosted,No Lamination,VAT,20%,£128.02,sq/m,£3.66,£70.41,£4.51,£1.43,,,
Display,Acrylic Award Trophies,0,Cut To Shape,Zero,Black backed,No Lamination,VAT,20%,£35.26,sq/m,£4.39,£2.71,£0.00,£0.86,,,
Display,Acrylic Award Trophies,0,Cut To Shape,Zero,White backed,No Lamination,VAT,20%,£35.26,sq/m,£4.39,£2.71,£0.00,£0.86,,,
Display,Acrylic Award Trophies,0,Cut To Shape,Zero,Frosted backed,No Lamination,VAT,20%,£35.26,sq/m,£4.39,£2.71,£0.00,£0.86,,,
Display,Acrylic Award Trophies,0,Cut To Shape,Zero,Glitter Frosted backed,No Lamination,VAT,20%,£35.26,sq/m,£4.39,£2.71,£0.00,£0.86,,,
Digital,Business Cards,Single Sided,Standard,85x55mm,450gsm Silk,No Lamination,VAT,20%,£0.04,Item,£0.01,£0.01,£0.00,£0.00,,,
Digital,Business Cards,Double Sided,Standard,85x55mm,450gsm Silk,No Lamination,VAT,20%,£0.06,Item,£0.01,£0.01,£0.00,£0.00,,,
Digital,Business Cards,Single Sided,Standard,85x55mm,450gsm Silk,Matt Lamination,VAT,20%,£0.06,Item,£0.01,£0.01,£0.01,£0.00,,,
Digital,Business Cards,Double Sided,Standard,85x55mm,450gsm Silk,Matt Lamination,VAT,20%,£0.09,Item,£0.01,£0.01,£0.02,£0.00,,,
Digital,Business Cards,Single Sided,Standard,85x55mm,450gsm Silk,Gloss Lamination,VAT,20%,£0.06,Item,£0.01,£0.01,£0.01,£0.00,,,
Digital,Business Cards,Double Sided,Standard,85x55mm,450gsm Silk,Gloss Lamination,VAT,20%,£0.09,Item,£0.01,£0.01,£0.02,£0.00,,,
Digital,Business Cards,Single Sided,Standard,85x55mm,450gsm Silk,Soft Touch Lamination,VAT,20%,£0.08,Item,£0.01,£0.01,£0.02,£0.00,,,
Digital,Business Cards,Double Sided,Standard,85x55mm,450gsm Silk,Soft Touch Lamination,VAT,20%,£0.12,Item,£0.01,£0.01,£0.04,£0.00,,,
Digital,Flyers,Single Sided,Standard,A6,130gsm Gloss,No Lamination,VAT,0%,£0.03,Item,£0.01,£0.01,£0.00,£0.00,,,
Digital,Flyers,Double Sided,Standard,A6,130gsm Gloss,No Lamination,VAT,0%,£0.05,Item,£0.02,£0.01,£0.00,£0.00,,,
Digital,Flyers,Single Sided,Standard,A5,130gsm Gloss,No Lamination,VAT,0%,£0.05,Item,£0.02,£0.02,£0.00,£0.00,,,
Digital,Flyers,Double Sided,Standard,A5,130gsm Gloss,No Lamination,VAT,0%,£0.08,Item,£0.04,£0.02,£0.00,£0.00,,,
Digital,Flyers,Single Sided,Standard,A4,170gsm Silk,No Lamination,VAT,0%,£0.12,Item,£0.04,£0.04,£0.00,£0.00,,,
Digital,Flyers,Double Sided,Standard,A4,170gsm Silk,No Lamination,VAT,0%,£0.18,Item,£0.08,£0.04,£0.00,£0.00,,,
Digital,Posters,Single Sided,Standard,A3,200gsm Silk,No Lamination,VAT,20%,£0.45,Item,£0.15,£0.10,£0.00,£0.00,,,
Digital,Posters,Single Sided,Standard,A4,200gsm Silk,No Lamination,VAT,20%,£0.25,Item,£0.08,£0.05,£0.00,£0.00,,,
Digital,Stationery,Single Sided,Standard,A4 Letterhead,120gsm Uncoated,No Lamination,VAT,20%,£0.15,Item,£0.05,£0.05,£0.00,£0.00,,,
Digital,Stationery,Single Sided,Standard,DL Comp Slip,120gsm Uncoated,No Lamination,VAT,20%,£0.08,Item,£0.03,£0.02,£0.00,£0.00,,,
Creative,Design Services,0,Standard,Zero,None,None,VAT,20%,£60.00,Hour,£0.00,£0.00,£0.00,£0.00,,,
Creative,Artwork Check,0,Standard,Zero,None,None,VAT,20%,£15.00,Item,£0.00,£0.00,£0.00,£0.00,,,
Labour,Installation Services,0,Standard,Zero,None,None,VAT,20%,£50.00,Hour,£0.00,£0.00,£0.00,£0.00,,,
Labour,Site Survey,0,Standard,Zero,None,None,VAT,20%,£120.00,Item,£0.00,£0.00,£0.00,£0.00,,,
Accessories & Add Ons,Fixings,0,Standard,Zero,Chrome Standoffs (Set of 4),None,VAT,20%,£12.00,Item,£5.00,£0.00,£0.00,£0.00,,,
Accessories & Add Ons,Fixings,0,Standard,Zero,Screws & Plugs (Pack),None,VAT,20%,£5.00,Item,£2.00,£0.00,£0.00,£0.00,,,
Accessories & Add Ons,Tapes,0,Standard,Zero,VHB Tape (Roll),None,VAT,20%,£18.00,Item,£8.00,£0.00,£0.00,£0.00,,,
Accessories & Add Ons,Stands,0,Standard,Zero,Easel Back (A4/A5),None,VAT,20%,£2.50,Item,£0.50,£0.00,£0.00,£0.00,,,
Delivery,Courier,0,Standard,Zero,Next Day Standard,None,VAT,20%,£15.00,Item,£10.00,£0.00,£0.00,£0.00,,,
Delivery,Courier,0,Standard,Zero,Pre-10am,None,VAT,20%,£25.00,Item,£18.00,£0.00,£0.00,£0.00,,,
Delivery,Pallet,0,Standard,Zero,Standard Pallet,None,VAT,20%,£65.00,Item,£50.00,£0.00,£0.00,£0.00,,,

